Ref #,Activity,Project Title,Country,Delivery Partner,Region,SIDS,LDCs,NAP,Status,Approved Date,Financing
BDI-RS-003,,Increasing Private Sector Involvement in the Transition towards a Low-Carbon and Climate Resilient Economy in Burundi,Burundi,CSE,AF,FALSE,TRUE,FALSE,Disbursed,"Mar 30, 2022",397740
BDI-RS-004,Adaptation Planning,Developing and implementing the National Adaptation Plan (NAP) Process in Burundi,Burundi,UNDP,AF,FALSE,TRUE,TRUE,Disbursed,"Jan 19, 2024",2638452
BEN-RS-001,Adaptation Planning,Advancing the National Adaptation Plan Process in Benin,Benin,UNDP,AF,FALSE,TRUE,TRUE,Closed,"Feb 8, 2019",1542913
BEN-RS-002,,Strengthening the NDA and climate change frameworks for mobilizing climate financing in Benin,Benin,IFDD_CAN,AF,FALSE,TRUE,FALSE,Disbursed,"Dec 15, 2021",385000
BEN-RS-003,,Post Accreditation Support for the National Environment and Climate Fund FNEC of Benin,Benin,FNEC,AF,FALSE,TRUE,FALSE,Disbursed,"Dec 31, 2021",413790
BEN-RS-004,,Strengthening access to climate finance and integration of climate change into the local development planning in Benin,Benin,ICRAF,AF,FALSE,TRUE,FALSE,Disbursed,"Dec 1, 2023",1000000
BFA-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",Building the engagement of Burkina Faso wit the GCF: Establishing and strengthening national institutions to engage with GCF and fomulate a country programme,Burkina Faso,IUCN,AF,FALSE,TRUE,FALSE,Closed,"Mar 3, 2017",300000
BFA-RS-002,Strategic Framework (SF),"Assessing forest  and  land  use  sectoropportunitiesin BurkinaFasoto  support climate  change adaptation and mitigation interventions, particularly under the Great Green Wall Initiative",Burkina Faso,FAO,AF,FALSE,TRUE,FALSE,Closed,"Feb 23, 2018",342815
BFA-RS-003,Strategic Framework (SF),"Support for accreditation of direct access entities, pipeline development and private sector mobilization in Burkina Faso",Burkina Faso,GGGI,AF,FALSE,TRUE,FALSE,Closed,"Dec 24, 2019",442728
BFA-RS-004,,Improving the NDA technical and operational capacities to provide strategic oversight of the Green Climate Funds activities in Burkina Faso,Burkina Faso,IUCN,AF,FALSE,TRUE,FALSE,Disbursed,"Dec 23, 2021",412008
BFA-RS-005,Adaptation Planning,"Mainstream Adaptation into Subnational Planning, Strengthen Institutional Frameworks, and Develop Financing Strategy and Project Concept Notes for Burkina Fasos NAP Implementation",Burkina Faso,GGGI,AF,FALSE,TRUE,TRUE,Disbursed,"Jan 28, 2022",1630000
BFA-RS-006,,Strengthening sectoral expertise and strategic framework to support the implementation of Climate Appropriate Portfolios of Tree Diversity CAPTD for productive and resilient landscapes and livelihoods in AFOLU across Burkina Faso acronym R-CAPTD,Burkina Faso,ICRAF,AF,FALSE,TRUE,FALSE,Disbursed,"Mar 26, 2023",1599717
BFA-RS-007,Support for direct access entities (ES),Creation of an environment conducive to increasing the portfolio of projects and programs in Burkina Faso,Burkina Faso,FIE,AF,FALSE,TRUE,FALSE,Disbursed,"Feb 28, 2024",452896
BGD-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",Country Programming,Bangladesh,UNDP,AP,FALSE,TRUE,FALSE,Closed,"Dec 1, 2015",150000
BGD-RS-002,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening,Bangladesh,GIZ,AP,FALSE,TRUE,FALSE,Disbursed,"Jul 17, 2016",150000
BGD-RS-003,Adaptation Planning,Formulation and Advancement of the National Adaptation Plan Process in Bangladesh,Bangladesh,UNDP,AP,FALSE,TRUE,TRUE,Disbursed,"Feb 9, 2018",2805990
BGD-RS-004,Strategic Framework (SF),Up scaling regulatory landscape of Green Banking for Shariah Based Banks and Financial Institutions in Bangladesh,Bangladesh,BangladeshBank,AP,FALSE,TRUE,FALSE,Disbursed,"Jun 14, 2019",700000
BGD-RS-005,"NDA Strengthening, including country programming (SP, NDA, CP)","Strengthening the capacity of PKSF, Executing Entities (EEs) and Implementing Entities (IEs) for effective participation of GCF activities in Bangladesh",Bangladesh,PKSF,AP,FALSE,TRUE,FALSE,Disbursed,"Dec 18, 2019",299886
BGD-RS-006,,"Strengthening Bangladesh’s NDA Secretariat, Enhancing Pipeline Implementation and Private Sector Engagement in Effective Climate Action",Bangladesh,FAO,AP,FALSE,TRUE,FALSE,Closed,"Sep 3, 2020",999125
BGD-RS-007,,Increasing the Capacity of Bangladeshs NDA and Direct Access Accredited Entities to Access GCF Resources,Bangladesh,PKSF,AP,FALSE,TRUE,FALSE,Disbursed,"Nov 25, 2022",979990
BHS-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",Strengthening Bahamas’ NDA and Developing its Country Programme,Bahamas,CCCCC,LAC,TRUE,FALSE,FALSE,Closed,"Jan 23, 2017",300000
BHS-RS-002,Strategic Framework (SF),GCF Readiness and Preparatory Support in the Bahamas  (Phase II),Bahamas,CCCCC,LAC,TRUE,FALSE,FALSE,Closed,"Dec 15, 2018",359950
BHS-RS-003,Strategic Framework (SF),CTCN - Strategic Framework,Bahamas,UNIDO,LAC,TRUE,FALSE,FALSE,Closed,"May 28, 2018",369715
BHS-RS-004,"NDA Strengthening, including country programming (SP, NDA, CP)",Building Blocks for Strengthening The Bahamas Country Programme,Bahamas,CCCCC,LAC,TRUE,FALSE,FALSE,Closed,"Nov 8, 2019",951903
BHS-RS-005,,Developing a climate resilient health system in The Bahamas,Bahamas,CCCCC,LAC,TRUE,FALSE,FALSE,Closed,"Dec 21, 2020",749975
BHS-RS-006,,Capacity building for Energy Auditing and Solarization Readiness in The Bahamas,Bahamas,RMI_USA,LAC,TRUE,FALSE,FALSE,Closed,"Dec 30, 2021",476497
BHS-RS-007,,Preparation of Strategic Framework to Reduce Deforestation and Forest Degradation and Enhance Adaptive Capacity in The Bahamas,Bahamas,FAO,LAC,TRUE,FALSE,FALSE,Disbursed,"Dec 2, 2022",900000
BHS-RS-008,,Enhancing The Capacity of The Bahamas for Direct Access Climate Finance,Bahamas,CCCCC,LAC,TRUE,FALSE,FALSE,Disbursed,"Mar 25, 2024",999995.68
BIH-RS-001,Adaptation Planning,Adaptation Planning,Bosnia and Herzegovina,UNDP,EE,FALSE,FALSE,TRUE,Closed,"Mar 26, 2018",2506812
BIH-RS-002,"NDA Strengthening, including country programming (SP, NDA, CP)",Developing the capacities of Bosnia and Herzegovina for an effective engagement with the Green Climate Fund,Bosnia and Herzegovina,FAO,EE,FALSE,FALSE,FALSE,Disbursed,"Sep 22, 2022",704861
BIH-RS-003,Adaptation Planning,Identify investment options for climate change adaptation in Bosnia and Herzegovina within the framework of the National Adaptation Plan project,Bosnia and Herzegovina,FAO,EE,FALSE,FALSE,TRUE,Disbursed,"Dec 27, 2022",492083
BLZ-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Belize,CCCCC,LAC,TRUE,FALSE,FALSE,Closed,"Dec 14, 2016",300000
BLZ-RS-002,Support for direct access entities (ES),Building Capacity for direct access to Climate Finance,Belize,CCCCC,LAC,TRUE,FALSE,FALSE,Closed,"Dec 22, 2018",355365
BLZ-RS-003,Support for direct access entities (ES),Capacity Building for PACT as a GCF National Direct Access Entity,Belize,PACT,LAC,TRUE,FALSE,FALSE,Closed,"Oct 9, 2019",279062
BLZ-RS-004,Strategic Framework (SF),Readiness Support for Strengthening Belize Private Sector Access to Climate Finance,Belize,CDB,LAC,TRUE,FALSE,FALSE,Closed,"Dec 6, 2019",297537
BLZ-RS-005,,Belize Development Finance Corporation Capacity Strengthening for Accreditation to the Green Climate Fund,Belize,CDB,LAC,TRUE,FALSE,FALSE,Disbursed,"Dec 3, 2020",498902
BLZ-RS-006,Adaptation Planning,NAP-Enhancing adaptation planning in the coastal zone and fisheries sector of Belize,Belize,FAO,LAC,TRUE,FALSE,TRUE,Disbursed,"Jun 1, 2021",600000
BLZ-RS-007,Adaptation Planning,National Adaptation Planning for Integrated water resources management in Belize,Belize,CCCCC,LAC,TRUE,FALSE,TRUE,Disbursed,"Nov 3, 2021",902937
BLZ-RS-008,,"Enhancing Access for Climate Finance Opportunities, through pre accreditation support to Belize Social Investment Fund BSIF and the Ministry of Economic Development-Belize and technical support for the Belize National Protected Areas System BNPAS Entities",Belize,PACT,LAC,TRUE,FALSE,FALSE,Disbursed,"Dec 31, 2021",600000
BLZ-RS-009,,Traditional Savanna Fire Management Readiness Proposal to facilitate Emissions Reductions in the AFOLU sector in Belize,Belize,ISFMI_AUS,LAC,TRUE,FALSE,FALSE,Disbursed,"Feb 26, 2022",399313
BLZ-RS-010,,Building Capacity for Climate Resilient Infrastructure and Sustainable Urban Land Management and Strengthening the Capacity of the Ministry of Economic Development for pre Accreditation to the Green Climate Fund,Belize,PACT,LAC,TRUE,FALSE,FALSE,Disbursed,"Nov 28, 2022",998037
BLZ-RS-011,Adaptation Planning,Enabling Activities for the Formulation and Implementation of a Multisectoral National Adaptation Plan for Belize,Belize,PACT,LAC,TRUE,FALSE,TRUE,Disbursed,"Feb 9, 2023",1487030
BLZ-RS-012,,Strengthening the Capacity of the Ministry of Economic Development for pre-Accreditation to the Green Climate Fund,Belize,"Belize, Ministry of Finance, Economic Development, and Investment",LAC,TRUE,FALSE,FALSE,Disbursed,"Nov 28, 2023",313618
BLZ-RS-013,,"Strengthening technical and institutional capacities of Galen University, CCCCC, BLPA, PACT and BNPAS to access Climate Finance",Belize,PACT,LAC,TRUE,FALSE,FALSE,Disbursed,"Mar 8, 2024",679725
BOL-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Bolivia (Plurinational State of),"Bolivia, Ministry of Development Planning",LAC,FALSE,FALSE,FALSE,Disbursed,"Oct 1, 2015",300000
BOL-RS-002,,Capacity Building to Monitor AFOLU sector in the National Determined Contributions and enhancement of Climate Finance Access in Bolivia”,Bolivia (Plurinational State of),FAO,LAC,FALSE,FALSE,FALSE,Disbursed,"Nov 27, 2020",550000
BOL-RS-003,Support for direct access entities (ES),Strategic Strengthening of Capacities of BDP Towards the Improvement of a National Implementing Entity in Bolivia,Bolivia (Plurinational State of),BDP,LAC,FALSE,FALSE,FALSE,Closed,"Dec 31, 2020",238199
BOL-RS-004,,Promoting a Sustainable and Resilient Unified Health System in Bolivia in the face of Climate Change,Bolivia (Plurinational State of),WHO,LAC,FALSE,FALSE,FALSE,In Legal Processing,"Feb 14, 2024",500000
BOL-RS-005,,Capacity building for scaling up climate finance in Bolivia anddevelopment of a climate pipeline,Bolivia (Plurinational State of),BDP,LAC,FALSE,FALSE,FALSE,In Legal Processing,"Feb 19, 2024",491667
BRA-RS-001,Strategic Framework (SF),Technology Needs Assessment for the Implementation of Climate Action Plans in Brazil,Brazil,UNEP,LAC,FALSE,FALSE,FALSE,Closed,"May 15, 2018",700000
BRA-RS-002,Support for direct access entities (ES),Strengthening Brazilian DAEs for the implementation and execution of GCF projects,Brazil,Funbio,LAC,FALSE,FALSE,FALSE,Disbursed,"Nov 8, 2019",515217
BRA-RS-003,,National Framework for Leapfrogging to Energy-Efficient and Climate Friendly Commercial Refrigerating Appliances in Brazil,Brazil,UNEP,LAC,FALSE,FALSE,FALSE,Disbursed,"Dec 29, 2020",599704
BRA-RS-004,,Brazilian Agriculture and Livestock Platform of Sustainability:  Traceability and Certification for Supply Chains: stage 1 - cattle and soybeans in the legal Amazon,Brazil,FAO,LAC,FALSE,FALSE,FALSE,Disbursed,"Dec 23, 2021",449510
BRA-RS-005,,Strengthening the Brazilian NDA to provide better support to climate change projects and to build its capacity on climate finance to develop new alternatives for attracting national and international capital,Brazil,Funbio,LAC,FALSE,FALSE,FALSE,Disbursed,"Apr 6, 2022",297497
BRA-RS-006,,Exploring the potential for ocean-climate pipeline for mitigation and adaptation in Brazil,Brazil,Funbio,LAC,FALSE,FALSE,FALSE,Disbursed,"Oct 7, 2022",300000
BRA-RS-007,,Improving Brazilians capacity to support the development of a national sustainable solid waste management program in the Coastal Zone,Brazil,IICA,LAC,FALSE,FALSE,FALSE,Disbursed,"Mar 2, 2023",368064
BRA-RS-008,,Enhancing Brazilians capacity to combat desertification in traditional semi-arid territories through the participation of traditional communities indigenous and quilombolas in Pernambuco,Brazil,IICA,LAC,FALSE,FALSE,FALSE,Disbursed,"Mar 22, 2024",499520
BRA-RS-009,,Brazil Climate and Ecological Transformation Investment Platform BIP - Strengthening Brazils climate finance and transition capacities,Brazil,UNDP,LAC,FALSE,FALSE,FALSE,Legal Agreement Effective,"Oct 25, 2024",999998.93
BRB-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",NDA Strengthening + Country Programming,Barbados,Barbados,LAC,TRUE,FALSE,FALSE,Cancelled,"Feb 17, 2017",299439
BRB-RS-002,Strategic Framework (SF),Development of the Barbados Roofs to Reefs Programme (R2RP),Barbados,"Ministry of Finance, Economic Affairs and Investment",LAC,TRUE,FALSE,FALSE,Disbursed,"Dec 29, 2019",624527
BRB-RS-003,,The Barbados One Million Trees Food Security and Mitigation Initiative  Project Preparation Support,Barbados,MOENB_BRB,LAC,TRUE,FALSE,FALSE,In Legal Processing,"Dec 30, 2021",401104
BTN-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)","NDA Strengthening, including country programming",Bhutan,GNHC_BTN,AP,FALSE,FALSE,FALSE,Closed,"Dec 15, 2017",400000
BTN-RS-002,Adaptation Planning,Preparation of the National Adaptation Plan (NAP) for Bhutan with a focus on implementation of comprehensive risk management in the water sector,Bhutan,UNDP,AP,FALSE,FALSE,TRUE,Disbursed,"Dec 23, 2018",2999859
BTN-RS-003,"NDA Strengthening, including country programming (SP, NDA, CP)","Strengthening NDA and related institutions, including financial institutions, in Bhutan for effective engagement with GCF",Bhutan,"Bhutan, Department of Macro-fiscal and Development Finance (DMDF), Ministry of Finance",AP,FALSE,FALSE,FALSE,Disbursed,"Dec 18, 2019",400000
BTN-RS-004,Strategic Framework (SF),Strengthening REDD+ and watershed management in Bhutan,Bhutan,"Bhutan, Department of Macro-fiscal and Development Finance (DMDF), Ministry of Finance",AP,FALSE,FALSE,FALSE,Disbursed,"Aug 7, 2020",595000
BTN-RS-005,,Building Capacity of Bhutans National Stakeholders to Address Climate and Disaster related Risks.,Bhutan,"Bhutan, Department of Macro-fiscal and Development Finance (DMDF), Ministry of Finance",AP,FALSE,FALSE,FALSE,Disbursed,"Feb 28, 2022",975975
BTN-RS-006,Strategic Framework (SF),Strengthening capacities and enhancing climate data and services in Bhutan to scale-up climate financing from multiple sources,Bhutan,RSPN_BTN,AP,FALSE,FALSE,FALSE,Disbursed,"Nov 29, 2023",991452
BWA-RS-001,"NDA Strengthening, including country programming (SP, NDA, CP)",Getting Botswana GCF-Ready,Botswana,GIZ,AF,FALSE,FALSE,FALSE,Disbursed,"Feb 20, 2019",426688
BWA-RS-002,Strategic Framework (SF),National framework for leapfrogging to Energy Efficient Appliances and Equipment in Botswana (Refrigerators and Distribution Transformers) through regulatory and financing mechanism,Botswana,UNEP,AF,FALSE,FALSE,FALSE,Closed,"Dec 31, 2019",360519
BWA-RS-003,Strategic Framework (SF),Update the technology needs assessment and develop a technology road map for prioritized technologies to address climate change challenges in the most critical sectors of the economy,Botswana,UNEP,AF,FALSE,FALSE,FALSE,Disbursed,"Dec 29, 2020",294659
BWA-RS-004,,Resilient Recovery Rapid Readiness Support in Botswana,Botswana,FAO,AF,FALSE,FALSE,FALSE,Closed,"Jun 29, 2021",298852
